uid	IG2.1	IG2.2	IG2.3	IG2.4	IG2.5	IG2.6	IG2.7	IG2.8	IG2.9	IG2.10	IG2.11	IG2.12	IG2.13	IG2.14	IG2.15	IG2.16	IG2.17	IG2.18	IG2.19	IG2.20	IG2.21	IG2.22	IG2.23	IG2.24	IG2.25	IG2.26	IG2.27	IG2.28	IG2.29	IG2.30	IG2.31	IG2.32	IG2.33	IG2.34	IG2.35	IG2.36	IG2.37
1500011K16Rik	0	6.950351762	6.088311236	0	4.99095486	5.743622676	7.543186525	2.937344392	5.570462931	4.822730148	0	0	5.217618485	0	0	4.348374075	0	0	4.987320866	0	4.722466024	5.251340383	5.039577103	4.867896464	5.641835002	0	6.697940583	6.554128344	0	3.969012308	0	3.152183419	0	4.922673593	3.326249701	5.697106574	0
1500012F01Rik	5.264911693	7.052459369	7.407777611	8.385301603	7.568032105	6.667608326	5.525755693	7.00966069	6.682854169	7.090218302	3.885574364	0	5.77478706	0	6.950934928	7.581200582	5.916237768	9.235463805	6.961854808	6.064149939	7.91910168	6.391114676	7.021923839	6.345183447	5.795455272	8.945121901	7.578108472	9.083745237	0	8.486352367	7.95011843	7.660709039	0	6.684818738	8.100399529	6.864186145	16524.41
1500012K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015A07Rik	0	0	0	0	0	0	0	0	0	0	0	0	4.975446766	0	0	3.63691458	0	0	0	0	0	0	0	0	0	0	5.557655155	0	0	0	0	7.301130331	0	0	0	0	0
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500017E21Rik	0	0	0	0.613531653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600002D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600002H07Rik	1.117695043	3.212569339	0.575312331	0.422233001	0	6.077670274	0	6.150559677	7.856363275	0.879705766	0	0	0	1.5360529	3.033863452	0	0	0.263034406	0	6.648896806	0	0	7.430619811	0	2.914564523	0	0	0.263034406	0	3.214124805	0.839959587	0.464668267	0	7.372255648	0.389566812	0.722466024	0
1600002K03Rik	0	0	0	6.757289992	0	5.521050737	5.728736843	0	0	0	0	0	0	0	0	0	4.588564737	0	0	0	7.263222245	0	0	7.708670077	0	0	0	0	0	7.118733476	0	2.778208576	0	0.887525271	0	0	0
1600010M07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.069100632	0	0	0
1600012H06Rik	0	0	0	2.739848103	6.064581109	0	0	7.577730931	0	5.294620749	6.752748591	0	6.343585483	0.855989697	6.11997861	3.861955364	0	0	0	0	4.661635602	0	0	0	0	0	0	0	8.82	0	0	4.364572432	0	0	0	0.286881148	0
1600014C10Rik	0	5.766860144	0	3.181102551	0	5.334496768	0	0.321928095	0	5.835166157	6.09529152	0	0	0	0.659924558	6.294436954	6.070603999	0	0	0.367371066	0	5.062639828	0	0.286881148	5.87282876	0	7.122983254	0	0	0	0	7.651338766	0	3.310340121	0	2.827819025	0
