uid	GG1.69	GG1.70	GG1.71	GG1.72	GG1.73	GG1.74	GG1.75	GG1.76	GG1.77	GG1.78	GG1.79	GG1.80	GG1.81	GG1.82	GG1.83	GG1.84	GG1.85	GG1.86	GG1.87	GG1.88	GG1.89	GG1.90	GG1.91	GG1.92	GG1.93	GG1.94	GG1.95	GG1.96	GG1.R2.38	GG1.R2.39	GG1.R2.40	GG1.R2.41	GG1.R2.42	GG1.R2.43	GG1.R2.44	GG1.R2.45	GG1.R2.46	GG1.R2.47	GG1.R2.48
Sept2	9.39190946	9.340094884	10.56419713	7.697593138	11.21628509	10.1470268	10.43721109	9.235152624	9.670231344	8.523914746	11.55158811	11.26691535	9.698600497	11.04770333	11.00649439	10.03880927	12.39525028	11.41298259	8.171126747	11.5528852	11.06008117	10.17924978	9.863365495	10.62927465	10.997998	10.98248027	10.51925292	9.403225109	10.05857356	9.842507491	9.804857027	5.837691	11.0235326	11.16199472	9.775774869	9.890005815	10.33383739	10.61401041	10.63172274
Sept3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sept4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.704871964	0	0	0	8.773073253	0	9.430306184	0
Sept5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sept6	0	4.327687364	6.03760186	0	6.434795004	6.256444596	0	0.189033824	0	0	7.613384311	0	0.992768431	5.610581958	0	0	0	6.162693432	3.169925001	6.488964817	0	4.549053029	5.329841177	0	2.763411574	2.319039816	5.527946099	1.89917563	0	3.897240426	0.367371066	1.867896464	0.201633861	0	0	0	6.632122775	3.112700133	7.574025798
Sept7	8.124586622	8.150965784	6.080870812	4.775577361	4.750070486	2.381283373	7.497692194	7.081083929	1.448900951	0	8.513095909	7.134323634	8.20598869	0.678071905	0	8.808706815	0	7.806259604	0.422233001	8.169123281	5.020146573	7.846681351	8.090482973	7.640027973	5.6923714	5.930737338	7.590886411	8.808288507	6.553974808	8.467238717	7.359310317	5.132165525	8.551592918	8.415107942	7.73748397	9.078951341	5.514437914	9.349281229	8.537024216
Sept8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.516015147	3.032100843	0	0	0	0	0	0	0	0	0	0.23878686	0	0	0	0	0	7.693556651	0
Sept9	7.464423223	7.517196941	5.818646083	0	0	2.263034406	8.438583956	3.66106548	1.310340121	0	1.803227036	3.730096466	6.941341105	2.935459748	0	1.257010618	0	4.224194664	0	0.298658316	0.992768431	1.459431619	4.530445355	5.03562391	6.635609302	7.396861618	6.778734244	0	2.757023247	0.782408565	7.359661722	0	5.512226887	6.899296495	5.503666755	3.051372102	2.217230716	2.010779839	0
Sept10	0	0	0	0	0	0	0	1.851998837	0	0	4.71259578	0	0.748461233	0	0	0	0	4.10433666	0	4.381283373	0.475084883	0	0.604071324	1.735522177	0	0	0	1.443606651	0	0	0.632268215	0	0.704871964	2.950468414	0	0	0	0	1.941106311
Sept11	7.417093002	5.4747605	7.484138131	8.732337045	0	7.455902539	0.176322773	7.696758929	6.256633295	0	7.125361806	7.461233861	0.150559677	9.040618503	8.02314444	0	9.109308317	7.794610812	3.651912745	6.275007047	8.041713902	0.321928095	7.274727573	0.475084883	6.557961427	6.327507735	2.147306699	7.881725791	7.55658269	6.541019153	4.915998852	8.167468326	6.02613609	5.18070484	7.440703092	7.322378867	0	0.163498732	7.627096085
Sept12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sept14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sep15	8.297007949	8.833174729	9.154716864	9.6943753	5.943452539	8.544887178	9.320101028	9.082761125	9.01775492	0	9.987576681	0.555816155	7.435128498	9.00287126	0	9.465280694	6.204766751	6.24583789	0	8.124586622	8.77909553	8.615813525	9.055092595	9.814790724	8.588414824	8.666472569	9.571145864	9.51768907	9.561077875	9.480467098	10.25728176	0	7.906710247	9.575255596	7.067057839	5.960928667	9.062396984	0	7.521835963
0610005C13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610007P14Rik	0.704871964	7.588714636	7.580899204	8.624612709	0	7.838951767	7.579994693	7.786596362	9.204326599	0	4.537917249	0	9.302684614	4.162693432	0	7.710255419	8.68891467	5.72410452	0	8.588189924	7.897845456	5.836681593	8.239264368	0	7.082787732	0	1.851998837	8.07140873	7.29351763	6.412950846	5.816087659	8.358695151	7.905627685	6.576068579	8.830039776	7.357639971	3.74092756	1.722466024	7.08182959
0610009B22Rik	2.572889668	7.094658343	4.198494154	0	0	4.228049048	0	7.534886458	0	0	0	0	8.488241843	0	0	0	0	0	3.053111336	0	9.029038703	0	7.713695815	0	7.171226847	4.730096466	0.86393845	1.15704371	5.785027362	0	0	4.776103988	7.966361247	6.723831566	4.719731057	0	4.165107985	0	5.140778656
0610009L18Rik	0	0	0	0	6.619266268	6.842098871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009O20Rik	2.084064265	0.411426246	0	0	0.604071324	4.110196178	4.148934105	0	2.307428525	0	0	0	0	0	0	1.589763487	0	6.368069877	0	0	0	0	4.957450336	0	2.214124805	0	0	0	0	2.601696516	0	0	2.972692654	0	1.056583528	0.464668267	5.272023189	0	7.29994063
0610010B08Rik	0.070389328	0.070389328	0.722466024	0.50589093	1.189033824	1.063502942	5.263410059	5.864433796	0.40053793	0	0.028569152	0.056583528	6.134836993	2.673556424	0	4.209453366	0	3.206330648	0	4.199279721	3.753818443	0.028569152	1.992768431	0.028569152	0.201633861	0.084064265	0.028569152	3.705977902	1.786596362	0.163498732	4.323370069	3.891419187	0.422233001	3.473786912	0.604071324	0.042644337	0.028569152	0	2.972692654
0610010F05Rik	0	0.948600847	0.669026766	0	0	2.63691458	1.914564523	0	0	0	3.811471031	0	0.189033824	0	0	0	0	0	0	0	0	4.665051614	6.755288195	0	2.807354922	0.201633861	0	0.275007047	0.773996325	5.171527106	2.606442228	0	0	0	0	1.049630768	0	0	0
0610010K14Rik	0	0	4.913607512	9.20126628	4.760753208	7.960639126	0	7.799152081	7.75281548	0	2.176322773	5.333781501	8.034193701	6.254556252	0	0	0	3.13093087	5.152183419	2.063502942	8.263081368	0	5.397118409	0	4.371558863	4.312519967	8.100294392	0	1.443606651	8.613899941	7.25152975	7.072320216	2.319039816	7.979453777	7.717607885	9.895893322	5.860217925	6.154413085	3.142413438
0610011F06Rik	8.644577357	8.761551232	1.432959407	6.125775068	0	9.103523866	7.191799501	0	0	0	8.189676329	0	8.725298084	0	0	6.362995812	0	7.139755975	6.053545818	3.211012193	0	4.693208149	5.865423978	5.264536431	7.513174885	0	2.327687364	8.623552321	0	8.305742575	0	0	0	7.288912203	0	5.125155131	4.905447179	4.873321063	6.612499946
0610012G03Rik	2.313245852	2.700439718	5.764738923	0	4.383358695	0	2.580145484	0	3.200064862	0	1.580145484	5.250961574	4.414812061	0	0	0	0	0	0.687060688	4.203984166	0	0.545968369	3.066950244	8.102605646	5.890203467	0	0	3.353323291	4.228049048	0	0	0	5.263034406	1.589763487	2.82374936	4.170726276	3.368768349	7.0558247	0
0610030E20Rik	0.378511623	4.284662185	0	0	0.839959587	3.465974465	3.44625623	0	0	5.681730355	3.403267722	3.94204526	4.986410935	5.376429311	0	7.291400959	0	0.214124805	8.377297306	0.650764559	1.718087584	2.007195501	1.077242999	0.35614381	1.910732662	2.411426246	5.075532631	0.632268215	0.50589093	0	2.077242999	5.477029653	0.286881148	0.378511623	0.933572638	3.638073837	4.819157224	0	2.678071905
0610031J06Rik	0.555816155	0	1.416839742	4.140778656	7.374170076	0	0	0	9.842067434	0	6.078097423	5.75033852	0	8.691220077	0	8.595257481	0	6.01189812	9.405247853	6.298291731	8.840337339	6.196921734	8.451417196	4.867896464	5.895544989	0.516015147	6.983791683	1.117695043	9.029563314	0	5.313245852	8.141647364	8.622966945	4.895302621	9.077696975	4.203984166	0	0	0
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	0	5.821455119	5.22342255	0	0	6.66732447	0.516015147	0	0	7.271089466	0.464668267	0.5360529	0	5.120186028	0	4.606442228	0	0	0	5.534808661	0.722466024	3.267535798	7.582556003	0	7.228433921	0	0	0	0	0	0	0	0	5.450221496	0	0	0	8.71651083	0
0610038B21Rik	0.659924558	0	0	0	0	0	0	6.028790136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.722466024	0	0	0	5.589463893	0	0	0	0	0	0	0	0	0	1.782408565
0610039K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.871843649	0	0	0	0	0	0	0	0	0
0610040B10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.933572638	0	0	0	0	0	0
0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040J01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.815575429	0	0	0	0	0	0	0	0
0610043K17Rik	0	0	0	0	0	0	0	0	0	0	0	1.189033824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010001N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1100001G20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1.687060688	11.85113608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110001J03Rik	6.220136447	5.785027362	5.668459557	9.808819416	0	7.8615212	8.694392713	8.569741707	8.580145484	0	8.286881148	4.053111336	0	7.466708681	0	8.522385366	3.23878686	8.010164414	0	7.11997861	1.925999419	7.755822279	2.253989266	8.208527014	7.95919055	8.794123399	7.371036052	7.624758908	6.772281579	5.469885976	3.953265239	6.981738512	6.803743669	8.12820059	5.260778432	6.729688713	7.95930649	7.329123596	7.41100246
1110002L01Rik	0	0	0	0	0	0	0	1	0	0	0	0.275007047	0	0	0	0	0	0	0	0	0	0	0	7.562395082	0	0	0	0	0	0	0	7.737754352	0	0	0	0	0	0	0
1110004E09Rik	4.196921734	6.877621567	7.886854944	0	0	0	0	0.678071905	8.870457197	0	2.358958826	0	0	7.597531174	0	1.526068812	0	0	0	0	8.248212228	0	7.917312401	5.35473424	0	0	3.171527106	5.104755987	0	8.581539557	3.707082992	0	0.97819563	7.092545742	0	0	0	0	3.135863165
1110004F10Rik	2.516015147	7.268003886	9.8010778	6.373648211	9.229804195	9.514674609	0.565597176	7.357464033	4.191404729	0	8.694462363	8.558076262	9.431372238	9.276333814	9.931875081	7.115823977	0	8.727409977	2.080657663	3.314696526	8.924070186	8.71290525	7.530133184	9.554780687	8.260778432	4.823239844	2.994579724	9.291608162	9.311884519	0	8.482928932	9.487618991	5.653919873	7.29480452	5.255878353	4.432291338	0.5360529	8.088099184	7.228914867
1110006O24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	3.944858446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110007C09Rik	0	4.010779839	3.258518925	0	0	3.423578171	5.308521062	8.449437568	0	0	0	8.123035003	8.602142091	4.925999419	0	0	0	3.549669171	0	0	0	0	0	0	3.414135533	0	4.173127433	8.788033114	0	0	0	3.485426827	0.799087306	0	0	0	4.004501392	5.12763328	0
1110008F13Rik	4.247927513	3.602884409	0.704871964	3.498250868	9.099242596	7.028458647	1.565597176	2.82374936	2.443606651	0	0	1.257010618	4.263034406	0	0	3.529820947	0	5.341274184	0.918386234	3.94016675	3.997292408	4.427606173	1.22650853	1.220329955	6.0437382	7.971486075	0	1.475084883	6.521207816	8.3258451	2.889473543	4.699884729	4.575312331	8.32629465	8.980967818	0	7.686150316	0	2.948600847
1110008L16Rik	3.713695815	0.321928095	0	0	0	0.933572638	3.473786912	0	0.310340121	0	8.579202781	0.526068812	0.454175893	0	0	4.891905188	4.244887059	0	0.35614381	0	4.027684877	0.50589093	2.939226578	0.275007047	7.560103513	0	0	0	0	3.301587647	0	0	7.571525131	1.709290636	1.550900665	5.073820233	0	0	0
1110008P14Rik	4.942983598	0	0	0	0	0	0	0	0	0	0	0	0	6.363521544	0	3.575312331	0	0	0	0	0	0	0	1.713695815	4.489928219	0	0	0	0	0	7.7473874	0	0	1.819668183	2.815575429	0	0	0	7.987207156
1110012L19Rik	0	0	0	0	0	0	5.142413438	5.137503524	0	0	2.622930351	0	0	0	0	5.325890061	0	0	0	0	3.688180359	0	0	4.238022518	0	0	0	0	0	0	6.09085343	0	0	7.116447936	0	0	0	0	0
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.21490191	0	6.515384461	0	0	0	0	0	0	1.49057013	0	0	0	0	0.584962501	0	0	0	0	0	0	5.63314055	0	0
1110020A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.014355293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	7.858291887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9800253	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	0	0	0	0	0	0	5.327687364	0	0	0	0	0.475084883	7.817559307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.646162657	0	7.632995197	2.028569152	0	0	0
1110032F04Rik	0	0.378511623	0	0	0	0	0	0	0	0	0	0	0	0	0	6.828453874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110034G24Rik	5.967629753	0	0	0	3.269033146	0	0	0	0	0	0	0	0	0	0	5.827310944	0	0	7.576522138	0	0	4.829342194	0	0	0	0	0	0	7.262846543	0	8.330199833	0	0	0	0	0	4.628773595	0	0
1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	5.033863452	0	6.350674037	0	0	0	0	0	0.584962501	5.072963272	0.111031312	0	0	0	0	5.396776011	0	0	6.418864577	0.86393845	2.289834465	0	0.622930351	0	3.66106548	5.158660175	0	0	7.586689695	7.186064704	0	0	0.443606651	5.135863165	2.025028794	0.799087306	1.922197848	5.795455272	2.709290636
1110038B12Rik	8.969328956	3.333423734	7.436794812	9.398722319	0	8.312519967	8.090641752	3.642701572	0	0	7.987036574	9.711408865	7.75181182	4.824258697	0	7.754553506	0	6.722466024	6.439124424	7.333960351	6.742545234	7.660495132	7.76513689	7.524659241	7.89038589	9.344517844	0	2.659924558	8.512226887	8.246455594	8.722295241	8.347134114	3.57167681	6.016808288	0	0	6.498570013	0	8.757923316
1110038F14Rik	4.802193217	2.66448284	3.152183419	6.153805336	0	4.294253136	4.258518925	1.843983844	4.429615964	0	0	2.321928095	4.972233124	0	0	6.96613049	7.472162804	0.815575429	0	6.860342097	0	4.075532631	2.275007047	8.157094252	6.931683057	1.163498732	4.614709844	4.867402306	0	4.722466024	4.512858954	6.619413011	5.305240966	0	7.476543706	7.839266787	0	0	0
1110046J04Rik	0	3.066950244	0.333423734	0	1.454175893	0	0	0	1.028569152	0	0	1	0	1.056583528	0	0	0	3.346247774	0	0	0	0.956056652	1.526068812	0	0	0.948600847	0	1.176322773	0	0	3.039138394	1.124328135	0	0	1.799087306	0	0	0.948600847	0.970853654
1110051M20Rik	0	1.584962501	0	0	0	0	2.99095486	1.014355293	0	0	9.198690586	0	0	0	0	6.237257771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.203984166	0	0	0	2.182692298	0	8.108210793	0	0
1110054M08Rik	0	0	0	0	0	0	0.86393845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.582405464	3.357552005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110057K04Rik	7.085339669	1.344828497	5.15704371	0.495695163	0.963474124	6.936284583	1.650764559	3.0721058	0	0	7.144862143	0.82374936	7.985386577	1.918386234	0	1.726831217	0	4.657068301	1.14404637	0.516015147	5.106432078	0.40053793	4.107687869	0.321928095	7.195150711	7.289834465	1.891419187	1.3950628	7.78640033	1.327687364	0.333423734	0.704871964	5.427606173	5.99004722	5.268284667	9.328495421	0	0.948600847	7.272396509
1110058L19Rik	0	8.421812378	6.114158769	7.576522138	7.128870759	8.156386503	0	1.097610797	1.163498732	0	6.610877199	9.494435612	0	0	0	7.240028052	7.645009884	0	5.263785614	1.111031312	6.911212202	2.121015401	5.896998342	0	2.003602237	8.589201697	5.7977912	8.730368236	0	4.966245873	4.068670811	7.052894047	4.288358562	7.605923926	8.090324176	7.766330131	8.467727807	7.860466259	0
1110059E24Rik	0	0.650764559	5.77478706	9.641780824	0	8.366234776	0	5.057016965	0	0	5.480911346	0	0	0.632268215	0	0	7.66853047	8.158559199	0	8.130364633	9.041029375	0	0	0	7.588264894	5.950468414	0	0	0	8.624027763	0	0	5.565597176	5.936402378	3.69265037	0	0	8.709394036	0
1110059G10Rik	0	3.212569339	3.917431755	0	0	0	0	0	0	0	0	0	0	0	0	2.217230716	0	0	0	0	4.75595577	1.443606651	6.153805336	0	0	0	2.207892852	6.945326777	0	6.195150711	6.528883827	0	0	5.274634403	0	0	0	0	0.659924558
1110065P20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.586914829	0	0	0	0	0	0	0	0	0	0	6.83882574	0	0	0
1190002F15Rik	0	2.063502942	6.302867361	0	0	7.312610723	4.797012978	0	0	0	0	0	4.95930649	0	0	0	0	0	0	5.997066545	8.200555357	2.924099886	0	5.241077458	4.592158002	7.223229457	7.136375978	7.371123201	0	4.456806149	2.754887502	0	8.029452886	6.329661815	7.487920405	3.545968369	6.887159677	0	3.861955364
1190002N15Rik	0	0	0	0	0	0	0	0	0	0	0.50589093	0	0	0	0	0.22650853	0	0	0	0	6.879460723	3.883620816	2.912649865	0	0	6.233427944	0	0	0	0	0	0	0	1.941106311	0	0	0	0	0
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	0	0	0	0	0	0	0	0	7.215581534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190007I07Rik	3.40053793	5.839707698	3.606442228	0	4.417515003	0	2.324810603	1.169925001	5.455491621	0	5.943686952	6.012792122	2.548436625	2.084064265	0	0	0	2.771885579	0	1.952333566	0	5.287620044	4.12763328	0	5.376429311	0	0	4.771357409	4.757556689	4.712045449	5.331633567	0	0	0	4.8928767	5.392660881	7.470536865	0	3.802193217
1200014J11Rik	1.485426827	5.76420813	1.257010618	3.275007047	5.156639311	6.368942914	1.321928095	0.731183242	2.916476644	5.24830712	7.647674275	6.40053793	7.104441503	6.641256999	0	7.287897033	2.575312331	2.493134922	3.357552005	5.423914268	2.462052319	4.561326136	7.02613609	2.117695043	2.62058641	3.241840184	2.634593268	5.893847558	5.640678764	2.941106311	2.424922088	1.691534165	1.799087306	2.087462841	0.704871964	3.323370069	2.565597176	1.655351829	3.112700133
1300002E11Rik	0	5.983449691	0	0	0	0	0	0	6.065873847	0	0	0	0	0	0	0	0	0	0	0	0	7.548128324	0	0	0	0	5.137093609	0	0	0	0	0	0	0	0	0	0	0	0
1300002K09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1300017J02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500004A13Rik	0	0	0	0	0	0	0	0.23878686	0	0	0	0	0	0	0	0	0	0	0	0	2.073820233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.527946099	0	0	0
1500009C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500009L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.684818738	0	0	0	0	0	0	0	0	0	0	0
1500011B03Rik	3.883620816	0	7.785812075	0	0	4.424250286	0	4.807870078	0	0	5.401903472	6.526381863	3.304511042	0	10.00784022	1.883620816	0	0	10.08326656	0	0	3.896271849	7.155728997	0	6.340028102	0	4.708739041	1.438292852	5.974070367	0	3.871843649	9.670018844	5.849749117	8.057071136	0.748461233	8.751577532	8.800738154	2.599317794	0
1500011K16Rik	0	1.049630768	4.529196268	7.404971224	0	6.341096238	0	0	3.447579197	0	5.750606505	0	0	4.578938713	0	3.099295204	0	0	0	4.74092756	6.438292852	5.506843099	5.822475232	0	6.856861228	7.581200582	0	0	5.715893371	5.039577103	4.752213368	0	2.22342255	2.788685711	4.132576843	3.047887329	0.871843649	0	0
1500012F01Rik	7.510566389	7.593876608	6.767125077	7.083851588	10.7276227	7.844423317	8.408372204	7.081510068	5.043956873	0	6.350143602	8.289834465	6.057666877	5.734438666	0	6.207111961	6.343763122	5.485748821	8.34416273	7.339939055	8.350010963	3.689299161	6.628627802	6.120186028	8.555125925	7.779325391	6.254367281	5.840463234	7.957508377	7.755087863	5.772941338	7.514359007	7.828263448	8.153298683	2.922197848	7.285772093	6.783325685	4.444932049	6.982993575
1500012K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015A07Rik	0	1.189033824	0	0	0	0	0	0	0	7.000338092	0	0	5.74819285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.943452539	0
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
